OBJECTID,count,sex_class,height,latitude,longitude,location_route,start_date,perch_nest_sub,flight_behaviours,perched_behaviours,distance_m,prefered_name,Raptor Group,Temperature,Cloud,Wind,survey_ID,transect_ID,transect_repeat,season
1221748,1,undetermined,1 - 20 m (poles / low tree height),-34.34951978,136.0333177,Tumby Bay,"12/15/2022, 11:19 AM",unspecified,hovering,unspecified,203,Nankeen Kestrel,kesrels,Cold,Overcast,Wind,23,T_2,1,1
1221749,1,female,1 - 20 m (poles / low tree height),-34.35951662,136.0784744,Tumby Bay,"12/15/2022, 11:09 AM",overhead lines,unspecified,just perching,86,Nankeen Kestrel,kesrels,Cold,Overcast,Wind,23,T_2,1,1
1221743,1,undetermined,1 - 20 m (poles / low tree height),-34.30517802,136.1900596,Tumby Bay,"12/15/2022, 12:42 PM",fence post,unspecified,just perching,82,Brown Falcon,falcons,Cool,Overcast,Wind,24,T_1,1,1
1221744,1,undetermined,1 - 20 m (poles / low tree height),-34.3203336,136.1579995,Tumby Bay,"12/15/2022, 12:32 PM",unspecified,quartering,unspecified,341,Spotted Harrier,harriers,Cool,Overcast,Wind,24,T_1,1,1
1221745,1,undetermined,0 m ground level,-34.32345235,136.1582716,Tumby Bay,"12/15/2022, 12:31 PM",fence post,unspecified,just perching,105,Nankeen Kestrel,kesrels,Cool,Overcast,Wind,24,T_1,1,1
1221746,1,undetermined,1 - 20 m (poles / low tree height),-34.32137116,136.1585427,Tumby Bay,"12/15/2022, 12:30 PM",unspecified,hovering,unspecified,224,Nankeen Kestrel,kesrels,Cool,Overcast,Wind,24,T_1,1,1
1221747,1,undetermined,1 - 20 m (poles / low tree height),-34.34625983,136.1016854,Tumby Bay,"12/15/2022, 12:17 PM",unspecified,hovering,unspecified,46,Nankeen Kestrel,kesrels,Cool,Overcast,Wind,24,T_1,1,1
1221740,1,male,1 - 20 m (poles / low tree height),-34.64923214,135.8216703,Port Lincoln,"12/16/2022, 9:51 AM",small tree,unspecified,just perching,27,Nankeen Kestrel,kesrels,Cold,Overcast,Wind,26,PL_1,1,1
1221741,1,undetermined,1 - 20 m (poles / low tree height),-34.66720671,135.8075632,Port Lincoln,"12/16/2022, 9:45 AM",small tree,unspecified,just perching,81,Nankeen Kestrel,kesrels,Cold,Overcast,Wind,26,PL_1,1,1
1221742,1,undetermined,50 - 150 m (at risk colliding with turbines),-34.72979034,135.888109,Port Lincoln,"12/16/2022, 9:11 AM",unspecified,soaring,unspecified,528,Osprey,kites&others,Cold,Overcast,Wind,26,PL_1,1,1
